d_model,nhead,num_layers,dim_feedforward,dropout,batch_size
128,4,4,128,0.1,64
256,16,5,128,0.1,32
64,8,6,512,0.1,128
128,16,5,1024,0.1,32
128,2,6,1024,0.1,64
128,2,5,512,0.1,64
128,16,5,128,0.1,32
64,16,6,128,0.1,128
384,16,3,1024,0.1,32
256,8,5,256,0.2,32
384,2,4,512,0.1,32
64,4,4,1024,0.2,32
256,2,4,1024,0.1,128
256,2,3,1024,0.2,64
64,2,6,512,0.2,32
64,2,6,128,0.1,128
256,4,6,512,0.3,128
128,2,2,256,0.1,128
128,8,4,128,0.1,128
128,8,5,1024,0.3,64
256,4,2,256,0.2,32
128,8,4,128,0.1,64
128,8,6,512,0.3,128
64,4,5,128,0.2,64
64,16,5,1024,0.3,32
128,16,3,512,0.2,32
64,8,2,256,0.2,32
64,2,4,128,0.1,32
64,2,3,256,0.2,64
384,8,4,256,0.3,64
64,2,2,256,0.1,32
384,4,3,512,0.2,128
128,4,4,256,0.3,64
64,2,3,256,0.1,128
256,4,3,512,0.2,64
64,4,6,256,0.3,64
64,8,6,256,0.3,32
128,16,3,512,0.3,128
64,4,6,256,0.3,128
64,8,6,1024,0.3,128
64,2,2,128,0.1,32
128,2,5,128,0.3,32
256,4,2,256,0.3,128
384,4,3,128,0.3,128
384,8,2,128,0.3,128
128,4,3,128,0.3,64
256,4,2,512,0.3,128
384,4,2,256,0.2,32
384,8,5,512,0.2,128
384,2,5,128,0.3,64
128,2,6,256,0.2,32
64,8,2,512,0.1,128
128,2,6,1024,0.3,128
128,4,3,1024,0.1,32
256,16,3,512,0.1,128
64,16,5,256,0.1,64
256,8,3,256,0.1,128
128,16,2,512,0.2,128
384,8,2,512,0.1,128
256,2,5,512,0.3,64
384,2,6,256,0.2,32
384,2,6,256,0.2,64
64,8,2,512,0.3,64
384,8,4,256,0.1,64
384,4,4,1024,0.3,32
256,8,6,512,0.2,64
384,4,3,128,0.2,128
256,2,3,512,0.1,32
128,2,5,128,0.2,64
128,16,3,256,0.3,128
64,2,3,256,0.3,128
384,2,2,1024,0.1,64
256,16,6,1024,0.3,64
128,16,3,512,0.3,64
128,8,4,256,0.2,64
256,2,3,1024,0.3,32
128,2,4,1024,0.2,32
128,16,6,128,0.3,64
384,2,4,1024,0.2,128
128,16,5,1024,0.1,64
256,16,5,256,0.3,128
64,16,2,128,0.3,64
128,16,4,1024,0.2,32
384,8,5,512,0.2,64
64,16,6,128,0.2,32
128,4,2,256,0.2,128
256,8,6,128,0.1,64
64,2,6,1024,0.2,128
128,2,3,128,0.3,64
64,2,5,512,0.1,128
256,2,5,128,0.2,64
384,4,6,512,0.3,128
384,16,6,512,0.2,32
64,8,3,1024,0.3,128
384,8,4,256,0.2,32
256,8,6,512,0.3,32
128,2,5,1024,0.3,32
384,16,2,128,0.2,32
384,4,6,512,0.2,128
256,16,6,512,0.2,128
384,8,3,128,0.3,32
256,2,3,256,0.1,128
384,8,6,512,0.1,32
256,4,4,128,0.3,128
128,8,2,512,0.3,32
384,2,6,512,0.2,64
384,8,2,512,0.2,32
64,16,6,128,0.1,32
256,2,2,1024,0.3,128
128,16,5,512,0.3,64
256,2,2,256,0.3,32
256,2,3,128,0.1,32
384,16,5,512,0.1,32
256,8,5,128,0.3,32
256,4,6,256,0.3,32
256,4,3,512,0.3,128
256,16,4,1024,0.2,128
384,16,2,1024,0.3,64
256,2,6,128,0.3,64
64,4,5,512,0.1,128
384,16,5,512,0.2,64
256,2,4,1024,0.3,64
256,16,6,128,0.2,32
256,8,5,128,0.3,128
384,16,6,512,0.3,64
384,2,6,256,0.3,32
256,2,2,256,0.1,64
64,4,4,512,0.2,64
384,4,3,1024,0.1,128
128,2,5,512,0.3,64
64,8,6,1024,0.1,64
384,8,6,1024,0.2,64
128,4,3,1024,0.1,64
256,2,5,128,0.3,64
64,4,3,128,0.2,64
384,2,3,512,0.1,128
64,16,2,1024,0.1,128
256,2,2,512,0.2,64
384,4,5,256,0.1,32
64,16,3,1024,0.3,32
128,16,5,512,0.3,32
384,8,3,128,0.2,64
256,16,5,512,0.1,64
384,2,6,512,0.3,64
256,2,5,512,0.1,128
64,16,4,256,0.3,64
128,4,3,128,0.3,128
64,8,2,512,0.3,32
64,8,5,256,0.1,32
256,8,4,1024,0.2,128
256,2,2,256,0.1,128
384,8,5,128,0.2,128
64,16,4,1024,0.3,64
64,4,6,512,0.3,32
64,16,4,1024,0.1,32
64,2,5,128,0.1,32
128,16,6,1024,0.3,128
128,16,5,1024,0.2,32
256,4,3,512,0.1,128
256,8,4,256,0.1,64
64,4,6,128,0.1,64
128,4,3,128,0.3,32
128,4,3,128,0.2,32
128,8,2,128,0.1,32
128,16,2,1024,0.2,64
64,16,6,128,0.3,128
256,16,2,128,0.2,64
384,2,5,128,0.1,64
128,2,6,512,0.2,128
256,16,5,128,0.3,32
